Row,Reason,Content
24670,"型の不一致: 期待=numeric, 実際=string, 値=16,28","Apr 14, 2025 11:06:28.459959000 UTC,130.158.68.21,3.101.230.162,,dhcp7065.taiiku.tsukuba.ac.jp,dhcp7065.taiiku.tsukuba.ac.jp,16,28"
59171,"型の不一致: 期待=numeric, 実際=string, 値=16,28","Apr 14, 2025 11:15:41.577325000 UTC,130.158.71.54,3.101.240.57,,13351101007.ap.cc.tsukuba.ac.jp,13351101007.ap.cc.tsukuba.ac.jp,16,28"
135991,"型の不一致: 期待=numeric, 実際=string, 値=15,28","Apr 14, 2025 11:37:24.792814000 UTC,130.158.68.21,3.101.230.205,,13351100129.ap.cc.tsukuba.ac.jp,13351100129.ap.cc.tsukuba.ac.jp,15,28"
145314,"型の不一致: 期待=numeric, 実際=string, 値=16,1,28","Apr 14, 2025 11:40:00.242663000 UTC,130.158.71.54,3.101.240.87,,dhcp4201.taiiku.tsukuba.ac.jp,dhcp4201.taiiku.tsukuba.ac.jp,dhcp4201.taiiku.tsukuba.ac.jp,16,1,28"
151779,"型の不一致: 期待=numeric, 実際=string, 値=1,28","Apr 14, 2025 11:41:53.123080000 UTC,130.158.68.21,3.101.240.96,,idp1.ccs.tsukuba.ac.jp,idp1.ccs.tsukuba.ac.jp,1,28"
157872,"型の不一致: 期待=numeric, 実際=string, 値=16,1","Apr 14, 2025 11:43:39.787258000 UTC,130.158.68.21,3.101.216.121,,13351118091.ap.cc.tsukuba.ac.jp,13351118091.ap.cc.tsukuba.ac.jp,16,1"
166600,"型の不一致: 期待=numeric, 実際=string, 値=1,28","Apr 14, 2025 11:46:12.420851000 UTC,130.158.68.21,3.101.230.149,,fa003.geo.tsukuba.ac.jp,fa003.geo.tsukuba.ac.jp,1,28"
185110,"型の不一致: 期待=numeric, 実際=string, 値=1,28","Apr 14, 2025 11:51:33.298422000 UTC,130.158.71.54,3.101.240.141,,13351198183.guest.cc.tsukuba.ac.jp,13351198183.guest.cc.tsukuba.ac.jp,1,28"
213408,"型の不一致: 期待=numeric, 実際=string, 値=16,28","Apr 14, 2025 11:59:50.977818000 UTC,130.158.68.21,3.101.240.57,,dhcp103.dpipe.tsukuba.ac.jp,dhcp103.dpipe.tsukuba.ac.jp,16,28"
