date,network_type,analysis_type,subdomain,magnitude
2025-04-08,external,response,cc,8.962921
2025-04-08,external,response,manaba,7.333098
2025-04-08,external,response,account,7.235033
2025-04-08,external,response,twins,6.821889
2025-04-08,external,response,u,5.687013
2025-04-08,external,response,www,5.606389
2025-04-08,external,response,kdb,5.340486
2025-04-08,external,response,sec,5.340486
2025-04-08,external,response,ccs,5.028792
2025-04-08,external,response,ecloud,4.911735
2025-04-08,external,response,utos,4.786599
2025-04-08,external,response,cegloc,4.176321
2025-04-08,external,response,atmnb,3.985223
2025-04-08,external,response,cs,3.985223
2025-04-08,external,response,md,3.985223
2025-04-08,external,response,chem,3.771594
2025-04-08,external,response,iit,3.771594
2025-04-08,external,response,sapec,3.249810
2025-04-08,external,response,un,3.249810
2025-04-08,external,response,pas,2.919123
2025-04-08,external,response,sk,2.919123
2025-04-08,external,response,tulips,2.919123
2025-04-08,external,response,gsbs,2.514396
2025-04-08,external,response,trios,2.514396
2025-04-08,external,response,fair,1.992612
2025-04-08,external,response,geijutsu,1.992612
2025-04-08,external,response,hass,1.992612
2025-04-08,external,response,ph,1.992612
2025-04-08,external,response,prc,1.992612
2025-04-08,external,response,sie,1.992612
2025-04-08,external,response,anzenkanri,1.257198
2025-04-08,external,response,biol,1.257198
2025-04-08,external,response,coins,1.257198
2025-04-08,external,response,esys,1.257198
2025-04-08,external,response,hokekan,1.257198
2025-04-08,external,response,hosp,1.257198
2025-04-08,external,response,ims,1.257198
2025-04-08,external,response,intersc,1.257198
2025-04-08,external,response,kz,1.257198
2025-04-08,external,response,math,1.257198
2025-04-08,external,response,oyoriko,1.257198
2025-04-08,external,response,s,1.257198
2025-04-08,external,response,ap-graduate,0.000000
2025-04-08,external,response,bk,0.000000
2025-04-08,external,response,ccr,0.000000
2025-04-08,external,response,cryo,0.000000
2025-04-08,external,response,f-mirai,0.000000
2025-04-08,external,response,histanth,0.000000
2025-04-08,external,response,imis,0.000000
2025-04-08,external,response,japanese,0.000000
2025-04-08,external,response,jp-ex,0.000000
2025-04-08,external,response,logos,0.000000
2025-04-08,external,response,px,0.000000
2025-04-08,external,response,radd,0.000000
2025-04-08,external,response,stb,0.000000
2025-04-08,external,response,t-pirc,0.000000
2025-04-08,external,response,tara,0.000000
2025-04-08,external,response,tomonaga,0.000000
2025-04-08,external,response,zdk,0.000000
