date,network_type,analysis_type,subdomain,magnitude
2025-04-11,internal,response,cc,9.968451
2025-04-11,internal,response,manaba,8.519945
2025-04-11,internal,response,twins,8.493859
2025-04-11,internal,response,account,8.368472
2025-04-11,internal,response,www,7.635864
2025-04-11,internal,response,kdb,7.589233
2025-04-11,internal,response,u,6.814576
2025-04-11,internal,response,ecloud,6.717559
2025-04-11,internal,response,sec,6.444326
2025-04-11,internal,response,cegloc,6.329839
2025-04-11,internal,response,hokekan,6.184918
2025-04-11,internal,response,tulips,5.727632
2025-04-11,internal,response,sapec,5.363233
2025-04-11,internal,response,stb,5.306927
2025-04-11,internal,response,zdk,5.207137
2025-04-11,internal,response,un,5.098809
2025-04-11,internal,response,atmnb,5.075985
2025-04-11,internal,response,gsbs,5.052743
2025-04-11,internal,response,trios,4.903550
2025-04-11,internal,response,md,4.821801
2025-04-11,internal,response,otsuka,4.265266
2025-04-11,internal,response,utos,4.220817
2025-04-11,internal,response,taiiku,3.915343
2025-04-11,internal,response,sk,3.794616
2025-04-11,internal,response,human,3.661159
2025-04-11,internal,response,lawschool,3.661159
2025-04-11,internal,response,anzenkanri,3.511966
2025-04-11,internal,response,cs,3.511966
2025-04-11,internal,response,ac,3.342825
2025-04-11,internal,response,coins,3.342825
2025-04-11,internal,response,geijutsu,3.342825
2025-04-11,internal,response,ims,3.342825
2025-04-11,internal,response,ap-graduate,3.147567
2025-04-11,internal,response,esys,3.147567
2025-04-11,internal,response,iit,3.147567
2025-04-11,internal,response,klis,3.037352
2025-04-11,internal,response,sie,3.037352
2025-04-11,internal,response,chem,2.916625
2025-04-11,internal,response,s,2.916625
2025-04-11,internal,response,scs,2.916625
2025-04-11,internal,response,fair,2.783167
2025-04-11,internal,response,risk,2.783167
2025-04-11,internal,response,oyoriko,2.633975
2025-04-11,internal,response,biol,2.464834
2025-04-11,internal,response,bres,2.464834
2025-04-11,internal,response,ccs,2.464834
2025-04-11,internal,response,mast,2.464834
2025-04-11,internal,response,cryo,2.269575
2025-04-11,internal,response,geoenv,2.269575
2025-04-11,internal,response,jinbun,2.269575
2025-04-11,internal,response,edu,2.038633
2025-04-11,internal,response,hibun,2.038633
2025-04-11,internal,response,informatics,2.038633
2025-04-11,internal,response,kz,2.038633
2025-04-11,internal,response,ph,2.038633
2025-04-11,internal,response,tsa,2.038633
2025-04-11,internal,response,dac,1.755983
2025-04-11,internal,response,earth,1.755983
2025-04-11,internal,response,education,1.755983
2025-04-11,internal,response,eme,1.755983
2025-04-11,internal,response,envr,1.755983
2025-04-11,internal,response,geol,1.755983
2025-04-11,internal,response,hass,1.755983
2025-04-11,internal,response,ipp,1.755983
2025-04-11,internal,response,life,1.755983
2025-04-11,internal,response,bk,1.391584
2025-04-11,internal,response,chs,1.391584
2025-04-11,internal,response,conservation,1.391584
2025-04-11,internal,response,histanth,1.391584
2025-04-11,internal,response,hosp,1.391584
2025-04-11,internal,response,ied,1.391584
2025-04-11,internal,response,imis,1.391584
2025-04-11,internal,response,japan,1.391584
2025-04-11,internal,response,japanese,1.391584
2025-04-11,internal,response,modernlc,1.391584
2025-04-11,internal,response,phd-humanics,1.391584
2025-04-11,internal,response,radd,1.391584
2025-04-11,internal,response,slis,1.391584
2025-04-11,internal,response,t-pirc,1.391584
2025-04-11,internal,response,tlsi,1.391584
2025-04-11,internal,response,dpipe,0.877992
2025-04-11,internal,response,ide,0.877992
2025-04-11,internal,response,lingua,0.877992
2025-04-11,internal,response,ocw,0.877992
2025-04-11,internal,response,pas,0.877992
2025-04-11,internal,response,prc,0.877992
2025-04-11,internal,response,sanrenhonbu,0.877992
2025-04-11,internal,response,tara,0.877992
2025-04-11,internal,response,tias,0.877992
2025-04-11,internal,response,ut-jinzai-bank,0.877992
2025-04-11,internal,response,anpi,0.000000
2025-04-11,internal,response,are,0.000000
2025-04-11,internal,response,butsuri,0.000000
2025-04-11,internal,response,coi-sec,0.000000
2025-04-11,internal,response,diversity,0.000000
2025-04-11,internal,response,gene,0.000000
2025-04-11,internal,response,gfest,0.000000
2025-04-11,internal,response,gip,0.000000
2025-04-11,internal,response,global,0.000000
2025-04-11,internal,response,hbp,0.000000
2025-04-11,internal,response,hcph,0.000000
2025-04-11,internal,response,inf,0.000000
2025-04-11,internal,response,jinsha,0.000000
2025-04-11,internal,response,jp-ex,0.000000
2025-04-11,internal,response,kkss,0.000000
2025-04-11,internal,response,kyoikusuishin,0.000000
2025-04-11,internal,response,logos,0.000000
2025-04-11,internal,response,math,0.000000
2025-04-11,internal,response,mountain-studies,0.000000
2025-04-11,internal,response,msc,0.000000
2025-04-11,internal,response,namagaku,0.000000
2025-04-11,internal,response,nc-bsys,0.000000
2025-04-11,internal,response,oii,0.000000
2025-04-11,internal,response,opop,0.000000
2025-04-11,internal,response,otsuka-s,0.000000
2025-04-11,internal,response,person,0.000000
2025-04-11,internal,response,physics,0.000000
2025-04-11,internal,response,press,0.000000
2025-04-11,internal,response,px,0.000000
2025-04-11,internal,response,shakai,0.000000
2025-04-11,internal,response,t-act,0.000000
2025-04-11,internal,response,tech,0.000000
2025-04-11,internal,response,tems,0.000000
2025-04-11,internal,response,wpi-iiis,0.000000
