date,network_type,analysis_type,subdomain,magnitude
2025-04-27,external,response,cc,8.381015
2025-04-27,external,response,account,7.249936
2025-04-27,external,response,manaba,7.177672
2025-04-27,external,response,twins,5.111314
2025-04-27,external,response,tulips,4.908153
2025-04-27,external,response,u,4.908153
2025-04-27,external,response,www,4.908153
2025-04-27,external,response,sec,3.430651
2025-04-27,external,response,ecloud,2.955002
2025-04-27,external,response,cs,2.341784
2025-04-27,external,response,kdb,2.341784
2025-04-27,external,response,pas,2.341784
2025-04-27,external,response,ccs,1.477501
2025-04-27,external,response,chem,1.477501
2025-04-27,external,response,human,1.477501
2025-04-27,external,response,iit,1.477501
2025-04-27,external,response,ph,1.477501
2025-04-27,external,response,shimoda,1.477501
2025-04-27,external,response,stb,1.477501
2025-04-27,external,response,tara,1.477501
2025-04-27,external,response,trios,1.477501
2025-04-27,external,response,zdk,1.477501
2025-04-27,external,response,ap-graduate,0.000000
2025-04-27,external,response,coins,0.000000
2025-04-27,external,response,education,0.000000
2025-04-27,external,response,esys,0.000000
2025-04-27,external,response,global,0.000000
2025-04-27,external,response,gsbs,0.000000
2025-04-27,external,response,high-s,0.000000
2025-04-27,external,response,hokekan,0.000000
2025-04-27,external,response,ipp,0.000000
2025-04-27,external,response,kz,0.000000
2025-04-27,external,response,math,0.000000
2025-04-27,external,response,md,0.000000
2025-04-27,external,response,person,0.000000
2025-04-27,external,response,prc,0.000000
2025-04-27,external,response,sapec,0.000000
2025-04-27,external,response,sk,0.000000
2025-04-27,external,response,slis,0.000000
2025-04-27,external,response,t-act,0.000000
2025-04-27,external,response,tac,0.000000
2025-04-27,external,response,taiiku,0.000000
2025-04-27,external,response,un,0.000000
