date,network_type,analysis_type,subdomain,magnitude
2025-04-16,external,response,manaba,9.067854
2025-04-16,external,response,account,8.888035
2025-04-16,external,response,cc,8.573607
2025-04-16,external,response,twins,7.792225
2025-04-16,external,response,www,7.210935
2025-04-16,external,response,kdb,7.197521
2025-04-16,external,response,u,6.532291
2025-04-16,external,response,atmnb,6.511290
2025-04-16,external,response,ecloud,6.307987
2025-04-16,external,response,sec,6.283626
2025-04-16,external,response,utos,5.893963
2025-04-16,external,response,tulips,5.616376
2025-04-16,external,response,ccs,5.228299
2025-04-16,external,response,trios,5.073333
2025-04-16,external,response,cs,5.017963
2025-04-16,external,response,hokekan,4.706160
2025-04-16,external,response,cegloc,4.482954
2025-04-16,external,response,pas,4.313611
2025-04-16,external,response,un,4.018006
2025-04-16,external,response,chem,3.905175
2025-04-16,external,response,esys,3.905175
2025-04-16,external,response,md,3.783309
2025-04-16,external,response,iit,3.650833
2025-04-16,external,response,kz,3.345308
2025-04-16,external,response,sk,3.345308
2025-04-16,external,response,ap-graduate,3.165982
2025-04-16,external,response,ims,3.165982
2025-04-16,external,response,bk,2.962678
2025-04-16,external,response,geijutsu,2.962678
2025-04-16,external,response,biol,2.727981
2025-04-16,external,response,hass,2.727981
2025-04-16,external,response,human,2.727981
2025-04-16,external,response,ph,2.727981
2025-04-16,external,response,stb,2.727981
2025-04-16,external,response,sie,2.450394
2025-04-16,external,response,are,2.110655
2025-04-16,external,response,life,2.110655
2025-04-16,external,response,person,2.110655
2025-04-16,external,response,px,2.110655
2025-04-16,external,response,risk,2.110655
2025-04-16,external,response,sapec,2.110655
2025-04-16,external,response,taiiku,2.110655
2025-04-16,external,response,ac,1.672654
2025-04-16,external,response,fair,1.672654
2025-04-16,external,response,geoenv,1.672654
2025-04-16,external,response,gsbs,1.672654
2025-04-16,external,response,imis,1.672654
2025-04-16,external,response,jinsha,1.672654
2025-04-16,external,response,klis,1.672654
2025-04-16,external,response,kokusai,1.672654
2025-04-16,external,response,otsuka,1.672654
2025-04-16,external,response,s,1.672654
2025-04-16,external,response,sanrenhonbu,1.672654
2025-04-16,external,response,shakai,1.672654
2025-04-16,external,response,shimoda,1.672654
2025-04-16,external,response,tlsi,1.672654
2025-04-16,external,response,wpi-iiis,1.672654
2025-04-16,external,response,anzenkanri,1.055327
2025-04-16,external,response,coins,1.055327
2025-04-16,external,response,edu,1.055327
2025-04-16,external,response,geol,1.055327
2025-04-16,external,response,hibun,1.055327
2025-04-16,external,response,icrhs,1.055327
2025-04-16,external,response,japanese,1.055327
2025-04-16,external,response,math,1.055327
2025-04-16,external,response,prc,1.055327
2025-04-16,external,response,scs,1.055327
2025-04-16,external,response,slis,1.055327
2025-04-16,external,response,tac,1.055327
2025-04-16,external,response,tsa,1.055327
2025-04-16,external,response,air,0.000000
2025-04-16,external,response,cj,0.000000
2025-04-16,external,response,conservation,0.000000
2025-04-16,external,response,deaf-s,0.000000
2025-04-16,external,response,earth,0.000000
2025-04-16,external,response,education,0.000000
2025-04-16,external,response,eme,0.000000
2025-04-16,external,response,envr,0.000000
2025-04-16,external,response,gip,0.000000
2025-04-16,external,response,hcs,0.000000
2025-04-16,external,response,heritage,0.000000
2025-04-16,external,response,high-s,0.000000
2025-04-16,external,response,hosp,0.000000
2025-04-16,external,response,intersc,0.000000
2025-04-16,external,response,ipp,0.000000
2025-04-16,external,response,japan,0.000000
2025-04-16,external,response,jinbun,0.000000
2025-04-16,external,response,jp-ex,0.000000
2025-04-16,external,response,lawschool,0.000000
2025-04-16,external,response,lingua,0.000000
2025-04-16,external,response,mast,0.000000
2025-04-16,external,response,mics,0.000000
2025-04-16,external,response,ocw,0.000000
2025-04-16,external,response,oii,0.000000
2025-04-16,external,response,soc-int,0.000000
2025-04-16,external,response,t-pirc,0.000000
2025-04-16,external,response,tara,0.000000
2025-04-16,external,response,tessa,0.000000
2025-04-16,external,response,tgsw,0.000000
2025-04-16,external,response,zdk,0.000000
