date,network_type,analysis_type,subdomain,magnitude
2025-04-07,other,response,cc,9.459642
2025-04-07,other,response,account,8.170877
2025-04-07,other,response,manaba,8.160274
2025-04-07,other,response,twins,8.150920
2025-04-07,other,response,sec,7.916030
2025-04-07,other,response,u,7.850637
2025-04-07,other,response,www,7.804973
2025-04-07,other,response,utos,6.998401
2025-04-07,other,response,kdb,6.987833
2025-04-07,other,response,un,6.762767
2025-04-07,other,response,ecloud,6.617755
2025-04-07,other,response,fair,6.336791
2025-04-07,other,response,cs,6.254909
2025-04-07,other,response,tulips,6.138635
2025-04-07,other,response,pas,5.732186
2025-04-07,other,response,hokekan,5.648715
2025-04-07,other,response,trios,5.637860
2025-04-07,other,response,md,5.593432
2025-04-07,other,response,taiiku,5.300055
2025-04-07,other,response,sk,5.225533
2025-04-07,other,response,slis,5.194377
2025-04-07,other,response,geijutsu,5.146072
2025-04-07,other,response,iit,5.129528
2025-04-07,other,response,sapec,5.129528
2025-04-07,other,response,sie,5.006852
2025-04-07,other,response,chem,4.870185
2025-04-07,other,response,ccs,4.762056
2025-04-07,other,response,ims,4.739209
2025-04-07,other,response,kz,4.739209
2025-04-07,other,response,human,4.715918
2025-04-07,other,response,esys,4.667935
2025-04-07,other,response,anzenkanri,4.592157
2025-04-07,other,response,s,4.592157
2025-04-07,other,response,ap-graduate,4.483043
2025-04-07,other,response,gsbs,4.483043
2025-04-07,other,response,risk,4.424523
2025-04-07,other,response,cegloc,4.229595
2025-04-07,other,response,coins,4.193788
2025-04-07,other,response,person,4.156880
2025-04-07,other,response,prc,4.118800
2025-04-07,other,response,hosp,4.079471
2025-04-07,other,response,atmnb,3.953100
2025-04-07,other,response,biol,3.953100
2025-04-07,other,response,bk,3.907833
2025-04-07,other,response,eme,3.811828
2025-04-07,other,response,oii,3.811828
2025-04-07,other,response,tara,3.811828
2025-04-07,other,response,wpi-iiis,3.760781
2025-04-07,other,response,alumni,3.707465
2025-04-07,other,response,klis,3.707465
2025-04-07,other,response,ied,3.651667
2025-04-07,other,response,otsuka,3.651667
2025-04-07,other,response,informatics,3.593147
2025-04-07,other,response,ph,3.593147
2025-04-07,other,response,tsa,3.593147
2025-04-07,other,response,geoenv,3.531625
2025-04-07,other,response,life,3.531625
2025-04-07,other,response,stb,3.531625
2025-04-07,other,response,shimoda,3.466776
2025-04-07,other,response,hass,3.398219
2025-04-07,other,response,imis,3.398219
2025-04-07,other,response,mast,3.325504
2025-04-07,other,response,math,3.325504
2025-04-07,other,response,heritage,3.165344
2025-04-07,other,response,envr,3.076457
2025-04-07,other,response,bres,2.980452
2025-04-07,other,response,diversity,2.980452
2025-04-07,other,response,edu,2.980452
2025-04-07,other,response,lawschool,2.980452
2025-04-07,other,response,t-pirc,2.980452
2025-04-07,other,response,tac,2.980452
2025-04-07,other,response,ac,2.876089
2025-04-07,other,response,conservation,2.876089
2025-04-07,other,response,sanrenhonbu,2.876089
2025-04-07,other,response,nourin,2.761771
2025-04-07,other,response,oyoriko,2.761771
2025-04-07,other,response,pmrc,2.761771
2025-04-07,other,response,education,2.635400
2025-04-07,other,response,phd-humanics,2.635400
2025-04-07,other,response,dac,2.494128
2025-04-07,other,response,dpipe,2.494128
2025-04-07,other,response,geol,2.494128
2025-04-07,other,response,jinsha,2.494128
2025-04-07,other,response,kyoikusuishin,2.494128
2025-04-07,other,response,px,2.494128
2025-04-07,other,response,tech,2.494128
2025-04-07,other,response,zdk,2.494128
2025-04-07,other,response,air,2.333968
2025-04-07,other,response,cryo,2.333968
2025-04-07,other,response,emp,2.333968
2025-04-07,other,response,kurihama,2.333968
2025-04-07,other,response,coi-sec,2.149076
2025-04-07,other,response,hibun,2.149076
2025-04-07,other,response,kansei,2.149076
2025-04-07,other,response,logos,2.149076
2025-04-07,other,response,souki,2.149076
2025-04-07,other,response,sse,2.149076
2025-04-07,other,response,deaf-s,1.930395
2025-04-07,other,response,emc,1.930395
2025-04-07,other,response,f-mirai,1.930395
2025-04-07,other,response,histanth,1.930395
2025-04-07,other,response,japanese,1.930395
2025-04-07,other,response,kou-c,1.930395
2025-04-07,other,response,msc,1.930395
2025-04-07,other,response,osi,1.930395
2025-04-07,other,response,press,1.930395
2025-04-07,other,response,ccr,1.662752
2025-04-07,other,response,centers,1.662752
2025-04-07,other,response,chs,1.662752
2025-04-07,other,response,kiri-s,1.662752
2025-04-07,other,response,modernlc,1.662752
2025-04-07,other,response,otsuka-s,1.662752
2025-04-07,other,response,scs,1.662752
2025-04-07,other,response,soc-int,1.662752
2025-04-07,other,response,butsuri,1.317700
2025-04-07,other,response,chemistry,1.317700
2025-04-07,other,response,criced,1.317700
2025-04-07,other,response,earth,1.317700
2025-04-07,other,response,elementary-s,1.317700
2025-04-07,other,response,geo,1.317700
2025-04-07,other,response,global,1.317700
2025-04-07,other,response,high-s,1.317700
2025-04-07,other,response,ilc,1.317700
2025-04-07,other,response,inf,1.317700
2025-04-07,other,response,ipp,1.317700
2025-04-07,other,response,jinbun,1.317700
2025-04-07,other,response,kokusai,1.317700
2025-04-07,other,response,neurosci,1.317700
2025-04-07,other,response,nsfb,1.317700
2025-04-07,other,response,radd,1.317700
