date,network_type,analysis_type,subdomain,magnitude
2025-04-15,internal,response,cc,9.998449
2025-04-15,internal,response,manaba,9.849668
2025-04-15,internal,response,account,9.745240
2025-04-15,internal,response,twins,9.369984
2025-04-15,internal,response,kdb,8.897771
2025-04-15,internal,response,ecloud,8.537462
2025-04-15,internal,response,www,8.462457
2025-04-15,internal,response,atmnb,8.306959
2025-04-15,internal,response,u,7.785416
2025-04-15,internal,response,tulips,7.269653
2025-04-15,internal,response,sec,7.196337
2025-04-15,internal,response,cegloc,6.831518
2025-04-15,internal,response,hokekan,6.715404
2025-04-15,internal,response,gsbs,6.114709
2025-04-15,internal,response,trios,6.106982
2025-04-15,internal,response,klis,5.557052
2025-04-15,internal,response,cs,5.455153
2025-04-15,internal,response,sapec,5.428278
2025-04-15,internal,response,md,5.372666
2025-04-15,internal,response,sk,5.029495
2025-04-15,internal,response,utos,4.991100
2025-04-15,internal,response,stb,4.971435
2025-04-15,internal,response,un,4.931120
2025-04-15,internal,response,coins,4.868010
2025-04-15,internal,response,ims,4.868010
2025-04-15,internal,response,otsuka,4.630121
2025-04-15,internal,response,slis,4.576364
2025-04-15,internal,response,ap-graduate,4.264561
2025-04-15,internal,response,taiiku,4.191245
2025-04-15,internal,response,kokusai,4.152851
2025-04-15,internal,response,esys,4.072198
2025-04-15,internal,response,human,4.072198
2025-04-15,internal,response,s,4.072198
2025-04-15,internal,response,life,3.940139
2025-04-15,internal,response,geijutsu,3.892708
2025-04-15,internal,response,hibun,3.738114
2025-04-15,internal,response,math,3.738114
2025-04-15,internal,response,zdk,3.622852
2025-04-15,internal,response,chem,3.560821
2025-04-15,internal,response,oii,3.560821
2025-04-15,internal,response,shakai,3.495436
2025-04-15,internal,response,sie,3.495436
2025-04-15,internal,response,biol,3.426312
2025-04-15,internal,response,ccs,3.426312
2025-04-15,internal,response,fair,3.426312
2025-04-15,internal,response,iit,3.426312
2025-04-15,internal,response,kyoikusuishin,3.426312
2025-04-15,internal,response,kz,3.426312
2025-04-15,internal,response,mast,3.426312
2025-04-15,internal,response,bres,3.352996
2025-04-15,internal,response,anzenkanri,3.274947
2025-04-15,internal,response,japanese,3.274947
2025-04-15,internal,response,lawschool,3.274947
2025-04-15,internal,response,oyoriko,3.274947
2025-04-15,internal,response,hass,3.101890
2025-04-15,internal,response,scs,3.101890
2025-04-15,internal,response,dac,3.005092
2025-04-15,internal,response,informatics,3.005092
2025-04-15,internal,response,pas,3.005092
2025-04-15,internal,response,are,2.899865
2025-04-15,internal,response,edu,2.899865
2025-04-15,internal,response,jinbun,2.899865
2025-04-15,internal,response,prc,2.899865
2025-04-15,internal,response,risk,2.899865
2025-04-15,internal,response,bk,2.784603
2025-04-15,internal,response,education,2.657187
2025-04-15,internal,response,eme,2.657187
2025-04-15,internal,response,geoenv,2.657187
2025-04-15,internal,response,imis,2.657187
2025-04-15,internal,response,t-pirc,2.657187
2025-04-15,internal,response,envr,2.514747
2025-04-15,internal,response,histanth,2.514747
2025-04-15,internal,response,ocw,2.514747
2025-04-15,internal,response,ac,2.353263
2025-04-15,internal,response,tsa,2.353263
2025-04-15,internal,response,chs,2.166842
2025-04-15,internal,response,hosp,2.166842
2025-04-15,internal,response,ipp,2.166842
2025-04-15,internal,response,japan,2.166842
2025-04-15,internal,response,sanrenhonbu,2.166842
2025-04-15,internal,response,ut-jinzai-bank,2.166842
2025-04-15,internal,response,cryo,1.946354
2025-04-15,internal,response,diversity,1.946354
2025-04-15,internal,response,geol,1.946354
2025-04-15,internal,response,heritage,1.946354
2025-04-15,internal,response,intersc,1.946354
2025-04-15,internal,response,archives,1.676498
2025-04-15,internal,response,criced,1.676498
2025-04-15,internal,response,projects,1.676498
2025-04-15,internal,response,wpi-iiis,1.676498
2025-04-15,internal,response,dpipe,1.328593
2025-04-15,internal,response,ied,1.328593
2025-04-15,internal,response,jinsha,1.328593
2025-04-15,internal,response,kc,1.328593
2025-04-15,internal,response,lingua,1.328593
2025-04-15,internal,response,otsuka-s,1.328593
2025-04-15,internal,response,ph,1.328593
2025-04-15,internal,response,sse,1.328593
2025-04-15,internal,response,t-act,1.328593
2025-04-15,internal,response,tara,1.328593
2025-04-15,internal,response,tias,1.328593
2025-04-15,internal,response,geo,0.838249
2025-04-15,internal,response,humcul,0.838249
2025-04-15,internal,response,inf,0.838249
2025-04-15,internal,response,opop,0.838249
2025-04-15,internal,response,osi,0.838249
2025-04-15,internal,response,person,0.838249
2025-04-15,internal,response,phd-humanics,0.838249
2025-04-15,internal,response,px,0.838249
2025-04-15,internal,response,radd,0.838249
2025-04-15,internal,response,riryou,0.838249
2025-04-15,internal,response,tlsi,0.838249
2025-04-15,internal,response,air,0.000000
2025-04-15,internal,response,butsuri,0.000000
2025-04-15,internal,response,chemistry,0.000000
2025-04-15,internal,response,cj,0.000000
2025-04-15,internal,response,conservation,0.000000
2025-04-15,internal,response,flang,0.000000
2025-04-15,internal,response,gene,0.000000
2025-04-15,internal,response,gip,0.000000
2025-04-15,internal,response,global,0.000000
2025-04-15,internal,response,hbp,0.000000
2025-04-15,internal,response,is,0.000000
2025-04-15,internal,response,jp-ex,0.000000
2025-04-15,internal,response,kansei,0.000000
2025-04-15,internal,response,komaba-s,0.000000
2025-04-15,internal,response,modernlc,0.000000
2025-04-15,internal,response,msc,0.000000
2025-04-15,internal,response,pmrc,0.000000
2025-04-15,internal,response,soc-int,0.000000
2025-04-15,internal,response,souki,0.000000
2025-04-15,internal,response,tac,0.000000
2025-04-15,internal,response,tems,0.000000
