date,network_type,analysis_type,subdomain,magnitude
2025-04-25,other,response,cc,9.145498
2025-04-25,other,response,manaba,8.936699
2025-04-25,other,response,account,8.858037
2025-04-25,other,response,sec,7.483387
2025-04-25,other,response,twins,7.241857
2025-04-25,other,response,u,7.225659
2025-04-25,other,response,atmnb,7.091342
2025-04-25,other,response,ecloud,6.846185
2025-04-25,other,response,utos,6.589503
2025-04-25,other,response,www,6.480377
2025-04-25,other,response,un,6.373706
2025-04-25,other,response,kdb,6.086699
2025-04-25,other,response,cs,5.879170
2025-04-25,other,response,md,5.797829
2025-04-25,other,response,fair,5.787269
2025-04-25,other,response,tulips,5.344642
2025-04-25,other,response,pas,5.164228
2025-04-25,other,response,trios,4.993764
2025-04-25,other,response,slis,4.952415
2025-04-25,other,response,sk,4.795544
2025-04-25,other,response,chem,4.499229
2025-04-25,other,response,coins,4.468350
2025-04-25,other,response,human,4.404141
2025-04-25,other,response,taiiku,4.336364
2025-04-25,other,response,esys,4.301009
2025-04-25,other,response,iit,4.227067
2025-04-25,other,response,ims,4.148351
2025-04-25,other,response,kz,4.148351
2025-04-25,other,response,risk,4.107002
2025-04-25,other,response,anzenkanri,4.064202
2025-04-25,other,response,geijutsu,4.019845
2025-04-25,other,response,ccs,3.973815
2025-04-25,other,response,cegloc,3.876189
2025-04-25,other,response,hosp,3.876189
2025-04-25,other,response,s,3.824280
2025-04-25,other,response,sie,3.824280
2025-04-25,other,response,hokekan,3.770063
2025-04-25,other,response,bk,3.713324
2025-04-25,other,response,prc,3.713324
2025-04-25,other,response,person,3.591255
2025-04-25,other,response,tsa,3.591255
2025-04-25,other,response,math,3.525310
2025-04-25,other,response,shimoda,3.525310
2025-04-25,other,response,tara,3.525310
2025-04-25,other,response,ied,3.455596
2025-04-25,other,response,alumni,3.302938
2025-04-25,other,response,biol,3.128401
2025-04-25,other,response,klis,3.128401
2025-04-25,other,response,sanrenhonbu,3.128401
2025-04-25,other,response,ap-graduate,3.030775
2025-04-25,other,response,geoenv,3.030775
2025-04-25,other,response,life,3.030775
2025-04-25,other,response,gsbs,2.924650
2025-04-25,other,response,otsuka,2.924650
2025-04-25,other,response,wpi-iiis,2.924650
2025-04-25,other,response,diversity,2.808402
2025-04-25,other,response,nourin,2.808402
2025-04-25,other,response,stb,2.808402
2025-04-25,other,response,ac,2.679897
2025-04-25,other,response,edu,2.679897
2025-04-25,other,response,pmrc,2.679897
2025-04-25,other,response,sapec,2.679897
2025-04-25,other,response,geol,2.536240
2025-04-25,other,response,kurihama,2.536240
2025-04-25,other,response,dpipe,2.373375
2025-04-25,other,response,heritage,2.373375
2025-04-25,other,response,oii,2.373375
2025-04-25,other,response,ph,2.373375
2025-04-25,other,response,px,2.373375
2025-04-25,other,response,t-pirc,2.373375
2025-04-25,other,response,education,2.185362
2025-04-25,other,response,mast,2.185362
2025-04-25,other,response,nsfb,2.185362
2025-04-25,other,response,osi,2.185362
2025-04-25,other,response,tech,2.185362
2025-04-25,other,response,envr,1.962989
2025-04-25,other,response,global,1.962989
2025-04-25,other,response,imis,1.962989
2025-04-25,other,response,informatics,1.962989
2025-04-25,other,response,jinsha,1.962989
2025-04-25,other,response,logos,1.962989
2025-04-25,other,response,press,1.962989
2025-04-25,other,response,tac,1.962989
2025-04-25,other,response,centers,1.690827
2025-04-25,other,response,deaf-s,1.690827
