date,network_type,analysis_type,subdomain,magnitude
2025-04-21,other,response,cc,9.215103
2025-04-21,other,response,manaba,9.215103
2025-04-21,other,response,account,8.989891
2025-04-21,other,response,twins,7.960177
2025-04-21,other,response,sec,7.861570
2025-04-21,other,response,u,7.759490
2025-04-21,other,response,www,7.476394
2025-04-21,other,response,ecloud,7.319668
2025-04-21,other,response,kdb,7.091505
2025-04-21,other,response,atmnb,7.038882
2025-04-21,other,response,utos,6.824534
2025-04-21,other,response,un,6.791504
2025-04-21,other,response,tulips,6.606843
2025-04-21,other,response,fair,6.463286
2025-04-21,other,response,md,6.303134
2025-04-21,other,response,cs,6.131625
2025-04-21,other,response,trios,6.069909
2025-04-21,other,response,hokekan,5.761971
2025-04-21,other,response,pas,5.565406
2025-04-21,other,response,sk,5.531887
2025-04-21,other,response,slis,5.253663
2025-04-21,other,response,taiiku,5.231698
2025-04-21,other,response,iit,5.114977
2025-04-21,other,response,chem,4.942652
2025-04-21,other,response,ims,4.928242
2025-04-21,other,response,sie,4.928242
2025-04-21,other,response,risk,4.853301
2025-04-21,other,response,ccs,4.739273
2025-04-21,other,response,human,4.739273
2025-04-21,other,response,kz,4.686650
2025-04-21,other,response,esys,4.650157
2025-04-21,other,response,geijutsu,4.573437
2025-04-21,other,response,s,4.573437
2025-04-21,other,response,ap-graduate,4.512277
2025-04-21,other,response,person,4.512277
2025-04-21,other,response,cegloc,4.469586
2025-04-21,other,response,coins,4.469586
2025-04-21,other,response,anzenkanri,4.402367
2025-04-21,other,response,stb,4.254611
2025-04-21,other,response,bk,4.227994
2025-04-21,other,response,biol,4.172803
2025-04-21,other,response,hosp,4.114781
2025-04-21,other,response,tara,4.053621
2025-04-21,other,response,math,3.988964
2025-04-21,other,response,ied,3.955195
2025-04-21,other,response,prc,3.920387
2025-04-21,other,response,gsbs,3.884473
2025-04-21,other,response,otsuka,3.884473
2025-04-21,other,response,life,3.769338
2025-04-21,other,response,sapec,3.728200
2025-04-21,other,response,wpi-iiis,3.728200
2025-04-21,other,response,klis,3.594965
2025-04-21,other,response,shimoda,3.594965
2025-04-21,other,response,ac,3.546823
2025-04-21,other,response,education,3.546823
2025-04-21,other,response,geoenv,3.546823
2025-04-21,other,response,ph,3.546823
2025-04-21,other,response,alumni,3.496539
2025-04-21,other,response,informatics,3.496539
2025-04-21,other,response,oii,3.496539
2025-04-21,other,response,px,3.496539
2025-04-21,other,response,tsa,3.388726
2025-04-21,other,response,sanrenhonbu,3.330704
2025-04-21,other,response,t-pirc,3.330704
2025-04-21,other,response,jinsha,3.204887
2025-04-21,other,response,kyoikusuishin,3.204887
2025-04-21,other,response,heritage,3.063304
2025-04-21,other,response,air,2.985261
2025-04-21,other,response,imis,2.985261
2025-04-21,other,response,chemistry,2.901431
2025-04-21,other,response,diversity,2.901431
2025-04-21,other,response,edu,2.901431
2025-04-21,other,response,eme,2.810888
2025-04-21,other,response,envr,2.810888
2025-04-21,other,response,hass,2.810888
2025-04-21,other,response,lawschool,2.810888
2025-04-21,other,response,dac,2.712462
2025-04-21,other,response,nourin,2.712462
2025-04-21,other,response,pmrc,2.712462
2025-04-21,other,response,tech,2.712462
2025-04-21,other,response,dpipe,2.604649
2025-04-21,other,response,geol,2.604649
2025-04-21,other,response,msc,2.604649
2025-04-21,other,response,oyoriko,2.604649
2025-04-21,other,response,tac,2.604649
2025-04-21,other,response,bres,2.485466
2025-04-21,other,response,coi-sec,2.485466
2025-04-21,other,response,kokusai,2.485466
2025-04-21,other,response,kurihama,2.485466
2025-04-21,other,response,scs,2.485466
2025-04-21,other,response,chs,2.352232
2025-04-21,other,response,histanth,2.352232
2025-04-21,other,response,japanese,2.352232
2025-04-21,other,response,kansei,2.352232
2025-04-21,other,response,mast,2.352232
2025-04-21,other,response,ocw,2.352232
2025-04-21,other,response,phd-humanics,2.352232
2025-04-21,other,response,zdk,2.352232
2025-04-21,other,response,bpgi,2.201183
2025-04-21,other,response,cryo,2.201183
2025-04-21,other,response,elementary-s,2.201183
2025-04-21,other,response,logos,2.201183
2025-04-21,other,response,press,2.201183
2025-04-21,other,response,sse,2.201183
2025-04-21,other,response,t-act,2.201183
2025-04-21,other,response,are,2.026811
2025-04-21,other,response,is,2.026811
2025-04-21,other,response,kiri-s,2.026811
2025-04-21,other,response,nc-bsys,2.026811
2025-04-21,other,response,nsfb,2.026811
2025-04-21,other,response,otsuka-s,2.026811
2025-04-21,other,response,soc-int,2.026811
2025-04-21,other,response,anpi,1.820571
2025-04-21,other,response,ccr,1.820571
2025-04-21,other,response,criced,1.820571
2025-04-21,other,response,deaf-s,1.820571
2025-04-21,other,response,emc,1.820571
2025-04-21,other,response,emp,1.820571
2025-04-21,other,response,f-mirai,1.820571
2025-04-21,other,response,global,1.820571
2025-04-21,other,response,hcs,1.820571
2025-04-21,other,response,high-s,1.820571
2025-04-21,other,response,ilc,1.820571
2025-04-21,other,response,intersc,1.820571
2025-04-21,other,response,japan,1.820571
2025-04-21,other,response,komaba-s,1.820571
2025-04-21,other,response,neurosci,1.820571
2025-04-21,other,response,opop,1.820571
2025-04-21,other,response,osi,1.820571
2025-04-21,other,response,projects,1.820571
2025-04-21,other,response,tlsi,1.820571
2025-04-21,other,response,earth,1.568155
2025-04-21,other,response,ide,1.568155
2025-04-21,other,response,kkss,1.568155
2025-04-21,other,response,lingua,1.568155
2025-04-21,other,response,physics,1.568155
2025-04-21,other,response,sakado-s,1.568155
2025-04-21,other,response,shakai,1.568155
2025-04-21,other,response,sugadaira,1.568155
2025-04-21,other,response,tems,1.568155
2025-04-21,other,response,centers,1.242733
2025-04-21,other,response,cj,1.242733
2025-04-21,other,response,conservation,1.242733
2025-04-21,other,response,hbp,1.242733
2025-04-21,other,response,hibun,1.242733
2025-04-21,other,response,icrhs,1.242733
2025-04-21,other,response,inf,1.242733
2025-04-21,other,response,jinbun,1.242733
2025-04-21,other,response,kou-c,1.242733
2025-04-21,other,response,mics,1.242733
2025-04-21,other,response,radd,1.242733
2025-04-21,other,response,souki,1.242733
2025-04-21,other,response,tessa,1.242733
2025-04-21,other,response,tgsw,1.242733
2025-04-21,other,response,tias,1.242733
2025-04-21,other,response,trems,1.242733
2025-04-21,other,response,ut-jinzai-bank,1.242733
2025-04-21,other,response,geo,0.784077
2025-04-21,other,response,hcph,0.784077
2025-04-21,other,response,imri,0.784077
2025-04-21,other,response,ipp,0.784077
2025-04-21,other,response,jp-ex,0.784077
2025-04-21,other,response,kc,0.784077
2025-04-21,other,response,modernlc,0.784077
2025-04-21,other,response,mountain-studies,0.784077
2025-04-21,other,response,rdcpm,0.784077
2025-04-21,other,response,scpj,0.784077
2025-04-21,other,response,skip,0.784077
2025-04-21,other,response,sleepymouse,0.784077
2025-04-21,other,response,241,0.000000
2025-04-21,other,response,archives,0.000000
2025-04-21,other,response,arena,0.000000
2025-04-21,other,response,butsuri,0.000000
2025-04-21,other,response,cybernics,0.000000
2025-04-21,other,response,gene,0.000000
2025-04-21,other,response,gfest,0.000000
2025-04-21,other,response,gip,0.000000
2025-04-21,other,response,koudai,0.000000
2025-04-21,other,response,materials,0.000000
2025-04-21,other,response,namagaku,0.000000
2025-04-21,other,response,oiso,0.000000
2025-04-21,other,response,opera,0.000000
2025-04-21,other,response,qils,0.000000
2025-04-21,other,response,rcdh,0.000000
2025-04-21,other,response,robotics,0.000000
2025-04-21,other,response,ronbun-juri,0.000000
2025-04-21,other,response,sports,0.000000
2025-04-21,other,response,suiri,0.000000
