day,domain,dnsmagnitude
13,cc,9.72261856561475
13,cs,8.614065324623024
13,slis,8.513894855314817
13,u,8.440934488178842
13,taiiku,8.40054320604067
13,sec,8.323937655405425
13,tulips,8.170674931741159
13,www,8.07369922281441
13,ccs,8.063428937742941
13,sk,8.039548379441188
13,biol,8.013761628437154
13,hosp,7.98544904745044
13,ims,7.892873026607057
13,bk,7.863349397412067
13,trios,7.855236403140029
13,esys,7.811248148707049
13,human,7.771121581538047
13,coins,7.751201375427839
13,iit,7.727855597231581
13,s,7.709177576840687
13,criced,7.690590839729381
13,kz,7.683869644196209
13,otsuka,7.661880716584747
13,geijutsu,7.637605700521493
13,alumni,7.598643703139296
13,tsa,7.54242518607081
13,cegloc,7.5307832628869535
13,jinsha,7.477054183021798
13,ocw,7.46304878864324
13,px,7.453943196523393
13,math,7.446677151036338
13,klis,7.427153323336372
13,chem,7.420107412295666
13,risk,7.4109978708728725
13,account,7.397723852888971
13,stb,7.3807913699007255
13,manaba,7.35382355176525
13,envr,7.34039074092462
13,ph,7.333110649343333
13,high-s,7.32969286662636
13,twins,7.318617742495652
13,geoenv,7.315641043583618
13,hass,7.2927390852204965
13,pmrc,7.276792401799492
13,pas,7.258704108405654
13,tara,7.235634250803728
13,shimoda,7.213347059274079
13,sapec,7.206354497652553
13,wpi-iiis,7.168205175705288
13,life,7.152835210833866
13,ecloud,7.147152649651537
13,kdb,7.144448243795682
13,lawschool,7.142339143256153
13,dpipe,7.137196219159609
13,msc,7.132328628156671
13,ied,7.07533400740484
13,prc,7.069462102611264
13,un,7.050274661146834
13,komaba-s,7.043898448431478
13,global,7.040186052306921
13,hokekan,6.99332226474768
13,nsfb,6.960286224033318
13,gsbs,6.938195514570727
13,t-pirc,6.93629807286447
13,kiri-s,6.92058516374657
13,sanrenhonbu,6.9096933706335415
13,ap-graduate,6.908910281219969
13,phd-humanics,6.904984506171305
13,geol,6.903803402279964
13,is,6.896286601556117
13,sakado-s,6.8269174444963046
13,education,6.813071085644293
13,ac,6.790997211941827
13,elementary-s,6.7905501241348025
13,tac,6.7860668986542825
13,heritage,6.781561064780242
13,geo,6.76652850841754
13,lingua,6.7465532998808175
13,bres,6.7037338326004265
13,deaf-s,6.701266266923607
13,utos,6.681276507830708
13,osi,6.651995484091299
13,kokusai,6.646758042578738
13,dac,6.639373662005365
13,sugadaira,6.618475141957299
13,neurosci,6.589267630494347
13,informatics,6.566574221119407
13,sie,6.560231145367117
13,hibun,6.5450569537257
13,histanth,6.542109062685854
13,anzenkanri,6.528422072332989
13,logos,6.525418691475924
13,chs,6.513303184307115
13,intersc,6.511471605332254
13,japan,6.477844453463927
13,kansei,6.4429020804682695
13,nourin,6.4422419363941374
13,diversity,6.440258572730264
13,scs,6.428265037435741
13,otsuka-s,6.405161720837021
13,kurihama,6.397557377374291
13,t-act,6.377193710952914
13,ilc,6.3722080186659
13,oyoriko,6.369346511132278
13,emp,6.357081817648477
13,edu,6.353442281195887
13,mast,6.347588009876394
13,gfest,6.320758489018191
13,japanese,6.320001602091361
13,coi-sec,6.293098345020874
13,tech,6.272575243949896
13,gene,6.270176571465844
13,kc,6.235900945610233
13,sse,6.202851475278814
13,jinbun,6.193304464002884
13,icrhs,6.176570022845488
13,projects,6.141206002145774
13,suiri,6.132842400077737
13,hcs,6.11777768134494
13,chemistry,6.093718474305488
13,soc-int,6.084896082635944
13,rccp,6.078965718186132
13,vbl,6.069995710142184
13,jp-ex,6.066985583891448
13,cj,6.060934737085108
13,inf,6.057893877779024
13,oiso,6.056877953890504
13,shakai,6.048708708743856
13,ri-center,6.034230302261286
13,hbp,6.014198083489812
13,conservation,5.994796730949415
13,tomonaga,5.972733759033364
